aX,aY,aZ,gX,gY,gZ
-0.150,-0.266,1.016,-0.122,6.287,-0.427
-0.145,-0.286,1.004,-3.052,7.751,-1.526
-0.132,-0.279,1.000,-4.761,8.667,-2.075
-0.124,-0.258,0.971,-5.127,8.667,-1.892
-0.127,-0.253,0.937,-3.418,8.789,-0.366
-0.147,-0.249,0.932,0.549,8.179,0.671
-0.143,-0.258,0.946,5.859,7.202,0.732
-0.144,-0.264,0.963,9.094,6.287,0.610
-0.136,-0.284,0.971,8.118,4.883,0.732
-0.118,-0.292,0.989,2.747,2.258,0.854
-0.108,-0.285,0.987,-4.883,0.000,1.587
-0.102,-0.277,0.937,-10.925,-0.122,2.441
-0.097,-0.273,0.916,-12.756,-0.916,3.052
-0.090,-0.278,0.932,-10.193,-2.441,3.479
-0.082,-0.284,0.950,-4.883,-2.686,3.845
-0.066,-0.292,0.964,-0.061,-1.892,4.333
-0.119,-0.260,0.981,2.930,-1.282,4.150
-0.120,-0.255,1.004,4.517,-0.732,2.869
-0.114,-0.257,1.017,1.953,-0.427,0.000
-0.106,-0.251,1.010,-4.517,-1.160,-1.953
-0.098,-0.232,0.972,-12.146,-1.709,-2.686
-0.132,-0.417,2.528,7.751,0.061,-1.831
-0.177,-0.447,2.904,16.663,7.690,-0.366
-0.139,-0.499,3.228,15.625,19.470,-3.906
-0.040,-0.595,3.456,-2.808,33.325,-9.705
0.062,-0.693,3.635,-34.424,48.279,-10.559
0.137,-0.735,3.677,-67.993,64.880,-4.944
0.158,-0.757,3.578,-97.961,85.205,2.869
0.099,-0.728,3.329,-124.329,107.605,14.954
-0.015,-0.646,2.971,-146.973,127.258,27.161
-0.155,-0.522,2.538,-164.490,143.433,34.973
-0.332,-0.426,2.158,-174.438,155.762,37.659
-0.431,-0.336,1.722,-179.932,170.593,31.677
-0.459,-0.289,1.285,-184.753,179.443,24.475
-0.542,-0.205,0.903,-187.378,172.119,22.339
-0.645,-0.107,0.467,-194.214,167.053,22.522
-0.807,0.020,0.091,-200.806,160.950,20.569
-0.948,0.099,-0.393,-201.538,151.672,9.277
-0.994,0.041,-0.895,-195.435,146.484,-8.301
-0.940,-0.057,-1.248,-170.593,136.108,-21.790
-0.958,-0.099,-1.467,-127.808,123.352,-27.771
-1.034,-0.202,-1.678,-90.576,119.141,-31.921
-1.000,-0.420,-1.836,-73.181,109.375,-40.100
-0.837,-0.672,-2.003,-64.453,90.820,-46.448
-0.661,-0.873,-2.163,-49.316,79.468,-40.894
-0.516,-0.905,-2.311,-27.527,67.993,-24.658
-0.448,-0.793,-2.491,-10.315,50.110,-8.362
-0.412,-0.664,-2.662,-4.639,33.325,5.127
-0.304,-0.515,-2.759,-1.770,7.812,12.695
-0.238,-0.349,-2.801,10.193,-27.405,15.503
-0.232,-0.229,-2.706,32.288,-63.538,19.226
-0.261,-0.137,-2.423,63.110,-99.854,20.813
-0.330,-0.109,-2.019,91.370,-135.864,20.264
-0.463,-0.167,-1.513,104.858,-167.603,18.921
-0.556,-0.350,-0.945,109.863,-195.007,15.930
-0.566,-0.577,-0.386,114.563,-215.332,10.254
-0.552,-0.764,0.121,119.568,-226.135,7.629
-0.392,-0.807,0.649,122.498,-232.178,11.658
-0.406,-0.692,1.115,132.385,-226.746,18.616
-0.483,-0.465,1.546,148.621,-209.900,28.076
-0.520,-0.188,1.930,159.851,-191.162,27.954
-0.475,-0.039,2.204,157.227,-174.622,18.494
-0.382,-0.057,2.370,144.226,-153.137,4.761
-0.339,-0.161,2.599,136.780,-133.179,-7.202
-0.265,-0.259,2.912,140.442,-121.460,-14.893
-0.156,-0.335,3.133,143.677,-105.164,-21.851
-0.118,-0.325,3.275,133.667,-81.604,-23.743
-0.078,-0.274,3.202,110.413,-61.584,-20.996
-0.072,-0.202,2.887,81.848,-44.678,-19.958
-0.044,-0.170,2.444,64.026,-32.898,-16.479
-0.064,-0.172,2.056,58.655,-30.396,-11.353
0.021,-0.219,1.611,56.152,-32.227,-5.920
