aX,aY,aZ,gX,gY,gZ
0.344,-1.243,0.722,-138.123,132.446,245.667
0.264,-1.019,0.642,-145.142,120.850,259.094
0.216,-0.837,0.606,-152.893,110.840,261.719
0.218,-0.708,0.591,-162.781,105.591,254.456
0.239,-0.630,0.580,-175.598,100.647,244.263
0.261,-0.571,0.569,-191.467,96.558,232.849
0.280,-0.534,0.531,-208.679,96.252,222.839
0.305,-0.504,0.470,-224.854,98.633,216.919
0.310,-0.475,0.423,-238.281,101.196,215.515
0.301,-0.474,0.337,-247.498,104.309,218.384
0.279,-0.459,0.226,-253.052,107.422,224.365
0.233,-0.420,0.145,-254.211,109.253,230.347
0.186,-0.385,0.087,-250.977,112.427,233.948
0.149,-0.351,0.003,-245.056,117.065,235.962
0.140,-0.320,-0.056,-239.685,120.911,236.877
0.118,-0.311,-0.086,-233.765,125.488,236.450
0.069,-0.281,-0.103,-229.248,131.714,235.229
0.053,-0.262,-0.150,-227.844,136.108,234.741
0.036,-0.244,-0.219,-229.675,136.475,236.328
-0.005,-0.225,-0.280,-233.398,134.888,241.455
-0.083,-0.190,-0.316,-235.413,136.414,250.366
-0.172,-0.164,-0.366,-234.375,145.508,261.047
-0.280,-0.111,-0.515,-234.436,161.133,271.545
-0.386,-0.021,-0.702,-237.732,178.711,283.813
-0.499,0.092,-0.947,-241.760,190.186,295.471
-0.620,0.301,-1.206,-246.399,193.909,305.298
-0.738,0.572,-1.432,-247.681,192.261,304.932
-0.800,0.837,-1.611,-240.784,183.167,286.499
-0.788,1.090,-1.796,-231.018,159.485,250.183
-0.754,1.337,-1.933,-226.868,115.479,203.369
-0.694,1.436,-1.962,-217.590,55.115,148.743
-0.597,1.314,-1.800,-194.946,-4.944,85.449
-0.478,1.050,-1.532,-163.452,-45.898,21.973
-0.321,0.778,-1.285,-130.920,-58.533,-18.555
-0.176,0.543,-1.112,-107.178,-40.100,-26.062
-0.078,0.460,-1.070,-97.656,0.183,-13.672
-0.017,0.548,-1.139,-102.173,38.086,10.010
-0.005,0.679,-1.228,-115.173,59.265,35.706
-0.003,0.713,-1.322,-127.808,59.448,52.002
0.004,0.691,-1.367,-132.935,49.866,55.420
0.072,0.611,-1.495,-129.639,38.147,54.382
0.085,0.569,-1.529,-118.958,32.104,51.575
0.025,0.599,-1.513,-101.868,24.292,48.828
-0.035,0.624,-1.466,-82.153,23.071,48.584
-0.061,0.650,-1.424,-70.679,26.611,48.462
-0.085,0.722,-1.415,-71.350,24.658,50.110
-0.109,0.827,-1.449,-79.285,17.395,53.101
-0.109,0.903,-1.495,-83.374,11.230,52.124
-0.078,0.911,-1.561,-78.003,8.606,45.654
-0.021,0.906,-1.598,-64.148,5.676,34.729
0.022,0.846,-1.538,-45.166,-3.235,21.118
0.058,0.771,-1.387,-26.489,-16.479,7.202
0.100,0.632,-1.223,-13.550,-25.269,-2.991
0.165,0.522,-1.055,-10.071,-29.175,-6.836
0.200,0.466,-0.935,-14.343,-32.043,-3.052
0.183,0.453,-0.834,-21.362,-33.325,6.836
0.141,0.457,-0.785,-25.085,-28.870,17.822
