aX,aY,aZ,gX,gY,gZ
0.713,-0.504,-0.012,106.689,-168.518,-92.773
0.628,-0.964,0.469,131.104,-139.832,-70.251
0.582,-1.461,1.019,122.375,-121.765,-56.335
0.564,-1.886,1.568,89.294,-108.032,-48.035
0.536,-2.115,2.001,39.124,-98.389,-40.344
0.551,-2.170,2.224,-10.986,-85.693,-35.034
0.525,-2.112,2.341,-48.096,-68.970,-22.705
0.430,-1.993,2.401,-64.819,-36.926,2.502
0.361,-1.828,2.302,-60.486,23.315,39.307
0.327,-1.643,2.040,-42.053,97.961,76.782
0.297,-1.403,1.714,-24.658,160.461,110.352
0.302,-1.143,1.289,-13.367,207.092,138.672
0.300,-0.869,0.822,-5.615,239.868,160.706
0.259,-0.522,0.379,3.174,259.949,178.467
0.220,-0.078,-0.080,13.733,269.775,193.176
0.166,0.518,-0.617,25.940,267.822,198.486
0.278,1.266,-1.332,28.625,247.437,182.373
0.597,1.984,-2.146,6.714,195.435,132.385
1.002,2.350,-2.722,-37.476,101.990,44.312
1.277,2.365,-2.949,-78.308,-23.132,-61.646
1.269,2.001,-2.819,-92.529,-149.719,-146.423
1.177,1.426,-2.323,-77.393,-244.507,-192.871
0.983,0.833,-1.768,-39.124,-281.982,-206.604
0.816,0.389,-1.166,21.790,-266.479,-186.646
0.661,0.018,-0.668,101.501,-223.206,-142.517
0.625,-0.419,-0.250,167.908,-171.936,-96.313
0.647,-0.969,0.186,201.965,-129.150,-64.880
0.630,-1.500,0.698,198.669,-103.394,-51.392
0.581,-1.969,1.312,158.936,-89.905,-44.617
0.579,-2.335,1.882,96.619,-82.764,-41.870
0.636,-2.530,2.214,30.029,-78.674,-42.480
0.705,-2.549,2.326,-26.855,-73.730,-37.292
0.673,-2.370,2.293,-63.110,-58.350,-17.029
0.458,-1.822,1.970,-55.176,44.189,63.660
0.373,-1.558,1.720,-35.889,112.610,100.281
0.341,-1.267,1.368,-23.987,164.124,129.822
0.316,-0.965,0.963,-17.700,203.003,151.978
0.274,-0.660,0.568,-10.986,234.253,167.786
0.191,-0.288,0.159,-1.526,253.601,182.373
0.158,0.204,-0.377,7.324,260.864,192.017
0.273,0.817,-1.054,7.935,249.084,183.899
0.523,1.482,-1.835,-8.423,207.275,146.484
0.949,2.056,-2.492,-47.791,124.817,77.759
1.240,2.331,-2.769,-93.140,11.841,-15.747
1.222,2.241,-2.629,-117.493,-107.544,-105.774
1.098,1.810,-2.258,-106.018,-195.251,-167.725
0.944,1.206,-1.760,-68.298,-234.314,-196.533
0.802,0.669,-1.208,-2.014,-234.070,-192.627
0.704,0.210,-0.754,77.332,-207.458,-161.804
0.697,-0.272,-0.398,151.184,-167.053,-119.873
0.704,-0.798,0.016,195.374,-128.235,-85.571
0.720,-1.366,0.470,201.599,-98.022,-62.317
0.742,-1.885,1.043,168.579,-75.623,-44.678
0.761,-2.253,1.562,108.582,-64.026,-41.077
0.795,-2.446,1.872,36.499,-68.726,-46.021
0.825,-2.500,2.038,-34.607,-80.627,-50.232
0.808,-2.446,2.148,-88.684,-84.473,-42.297
0.691,-2.266,2.173,-111.389,-60.791,-10.376
0.562,-2.008,2.031,-103.699,-0.183,32.593
0.464,-1.711,1.771,-82.031,75.134,73.975
0.379,-1.400,1.452,-61.279,138.672,110.718
0.300,-1.058,1.052,-51.147,180.298,135.742
0.281,-0.736,0.622,-46.265,216.248,149.292
0.232,-0.384,0.157,-35.034,239.014,163.025
0.254,0.034,-0.317,-28.564,242.798,171.021
0.265,0.663,-0.919,-16.235,234.497,168.396
0.441,1.499,-1.732,-15.076,198.853,142.883
0.836,2.410,-2.603,-31.799,126.404,80.566
1.223,2.986,-3.135,-62.012,8.911,-20.325
1.264,2.973,-3.180,-89.172,-134.583,-137.634
1.024,2.465,-2.773,-91.248,-261.108,-232.300
0.672,1.684,-2.164,-54.321,-332.275,-280.579
0.455,0.682,-1.529,16.235,-343.445,-283.020
0.498,-0.293,-0.770,109.863,-313.232,-239.075
0.478,-1.091,-0.057,194.275,-253.601,-163.635
0.396,-1.668,0.615,232.788,-188.843,-86.548
0.334,-2.178,1.272,220.703,-126.282,-37.781
0.435,-2.605,1.778,164.368,-72.876,-21.423
