aX,aY,aZ,gX,gY,gZ
-0.149,-0.264,0.956,-9.460,2.014,-3.235
-0.126,-0.272,0.956,-9.277,-0.793,-5.066
-0.103,-0.289,0.955,-6.653,-0.854,-4.822
-0.088,-0.287,0.958,-3.845,-0.488,-2.991
-0.085,-0.276,0.952,-2.319,0.366,-1.831
-0.093,-0.253,0.941,-1.587,1.648,-1.953
-0.095,-0.232,0.932,-0.549,2.625,-1.892
-0.098,-0.209,0.927,0.549,3.113,-1.465
-0.130,-0.158,0.927,1.343,4.028,-0.061
-0.166,-0.119,0.919,2.014,5.493,0.488
-0.172,-0.115,0.903,0.366,5.188,-2.747
-0.167,-0.151,0.879,-3.418,2.747,-8.240
-0.151,-0.195,0.875,-6.165,-1.953,-13.672
-0.115,-0.246,0.911,-4.150,-6.897,-17.395
-0.075,-0.284,0.954,0.427,-8.240,-18.433
-0.051,-0.297,0.981,4.089,-6.470,-17.029
-0.049,-0.295,0.991,4.578,-4.089,-14.648
-0.056,-0.294,0.991,2.747,-2.930,-11.902
-0.089,-0.247,0.990,-0.916,-2.258,-8.911
-0.136,-0.188,0.986,-4.761,-1.343,-6.592
-0.198,-0.112,0.965,-9.033,1.099,-5.798
-0.261,-0.078,0.898,-14.282,3.723,-6.409
-0.288,-0.125,0.820,-19.470,3.784,-10.254
-0.245,-0.222,0.795,-18.494,1.892,-17.639
-0.161,-0.289,0.856,-6.775,-1.587,-23.621
-0.074,-0.346,0.923,7.080,-1.587,-25.269
0.003,-0.423,0.975,15.442,2.808,-22.644
0.041,-0.446,1.029,18.372,5.493,-16.052
0.050,-0.425,1.059,18.250,7.690,-9.033
0.043,-0.405,1.065,13.062,10.681,-2.686
0.021,-0.364,1.045,5.554,11.597,2.197
-0.008,-0.316,1.028,-0.549,10.437,5.554
-0.046,-0.284,1.012,-4.700,8.911,7.202
-0.071,-0.261,1.000,-5.554,7.751,6.348
-0.079,-0.242,1.000,-2.136,7.141,3.845
-0.084,-0.223,1.000,2.808,6.348,2.441
-0.091,-0.215,0.999,5.981,5.432,2.380
-0.090,-0.211,0.999,7.568,3.662,1.770
-0.074,-0.215,1.020,7.507,1.099,0.793
-0.060,-0.207,1.041,5.066,-0.366,0.671
-0.061,-0.196,1.042,-0.366,-1.160,2.075
-0.073,-0.188,1.018,-7.568,-1.343,4.150
-0.093,-0.182,0.998,-12.207,-1.404,5.188
-0.101,-0.180,0.973,-13.611,-1.465,4.333
-0.096,-0.192,0.949,-12.878,-1.343,2.136
-0.417,2.082,2.102,111.267,58.655,45.044
-0.723,2.690,2.365,112.366,98.755,52.246
-1.110,3.070,2.461,85.144,140.686,49.316
-1.475,3.216,2.360,21.301,168.762,26.428
-1.730,3.144,2.081,-69.702,173.218,-9.949
-1.882,2.877,1.694,-171.143,150.940,-46.570
-1.983,2.509,1.237,-269.531,109.863,-91.064
-1.993,2.082,0.710,-338.013,57.983,-147.949
-1.925,1.594,0.187,-355.835,2.747,-213.623
-1.767,0.473,-0.211,-320.007,-60.730,-281.677
-1.048,-1.544,-0.290,-235.779,-135.742,-331.909
-0.079,-3.798,0.565,-110.901,-222.656,-327.087
0.891,-4.000,1.869,69.214,-260.315,-252.441
1.741,-4.000,2.510,203.308,-180.359,-141.785
1.882,-4.000,2.343,195.312,-10.254,-48.584
1.676,-4.000,1.572,123.291,120.361,7.751
1.554,-4.000,0.624,55.481,139.038,21.912
1.532,-4.000,0.079,-17.700,63.599,17.883
1.398,-4.000,0.227,-69.214,-48.523,32.593
1.117,-3.921,0.577,-67.871,-106.567,72.693
0.742,-3.295,0.557,-38.574,-75.562,113.892
0.280,-2.755,0.230,-12.939,-7.141,144.287
-0.144,-2.455,-0.061,4.456,30.029,163.147
-0.416,-2.324,-0.045,16.296,10.925,166.504
